report_id,raw_text,incident_type,victim_count,vulnerable_victim,medical_emergency,location_description,severity_hint
fddde50e-4854-4bf1-97a4-f2600dad7540,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"H.No. 39, Bhavsar Street, Burhanpur-318591",MEDIUM
8143c62b-0944-4806-9885-86cc43251b4c,Family of four stranded on rooftop.,FLOOD,4,False,False,"43/552, Dhar Circle, Imphal-908166",HIGH
ee500cd0-f937-46a4-917b-031a39cf2fe8,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 58, Bora Path, Bharatpur-179529",HIGH
a7e80081-0435-44bc-832c-516452aa5174,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"14/08, Kaur, Machilipatnam-255059",MEDIUM
74f26056-1034-4032-9e19-2e75734dd9f7,Family of four stranded on rooftop.,FLOOD,4,False,False,"148, Chanda Zila, Thiruvananthapuram-110313",HIGH
575ef06f-2fa1-4a0b-bedf-68adf102086b,Water has entered the ground floor. two children are trapped.,FLOOD,2,True,False,"26/90, Shere Chowk, Dharmavaram 143098",HIGH
e07632ca-8856-42b3-a8ad-a91509588bcc,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"H.No. 115, Rau Nagar, Bhilwara 509696",MEDIUM
7f8e0e03-681c-4783-aeaa-ffcf43bd840d,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"17/322, Sundaram, Ludhiana 315178",HIGH
1bd8974c-b592-418b-b3cb-6dea9bb97f88,Water has entered the ground floor. one children are trapped.,FLOOD,1,True,False,"20, Narayanan, Maheshtala-048376",HIGH
cf682540-c8fb-4b28-8fc3-841224aef74f,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"91/41, Padmanabhan Circle, Saharsa 242453",MEDIUM
bdf6c12a-7f90-4144-8d54-a5a9036d81a0,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"H.No. 064, Ramanathan Path, Rourkela 598990",MEDIUM
c8c02b78-19c1-41ab-a533-6b74c7a47a14,Water has entered the ground floor. one children are trapped.,FLOOD,1,True,False,"H.No. 894, Rastogi Chowk, Kharagpur-594204",HIGH
dd592ebe-03ae-4d30-bc83-4c7cb3580f0b,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"82/12, Gole Path, Medininagar 335909",MEDIUM
d9f00e0e-4f77-40ea-9b26-195cab149835,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"73, Dutta Nagar, Dharmavaram-107394",HIGH
31907e1a-901e-404e-a7d9-6f7aaab80bbf,3 people trapped inside a flooded house. One person is infant.,FLOOD,3,True,False,"H.No. 84, Manda, Ajmer-872925",HIGH
4b52b801-26b9-437e-a075-8497176d4020,4 people trapped inside a flooded house. One person is infant.,FLOOD,4,True,False,"83, Bahri Circle, Moradabad 734931",HIGH
cd50c45d-4d02-4281-8bcd-f9a49219341a,Family of three stranded on rooftop.,FLOOD,3,False,False,"H.No. 05, Minhas Path, Ramagundam 460893",HIGH
e5fc882d-1e56-4aa0-b2fe-58f402e3c891,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"55/080, Palla, Avadi-684201",MEDIUM
b3bcccbd-560a-4a39-94bb-8cd05dad1c7f,Family of three stranded on rooftop.,FLOOD,3,False,False,"35, Krishnan Circle, Moradabad 151308",HIGH
0e5406df-fcb7-485e-a81e-ce20f3a749b9,Family of two stranded on rooftop.,FLOOD,2,False,False,"36, Kakar, Morena 790400",MEDIUM
da57d337-fa9e-46f8-aec9-6b398835954f,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"10, Ravi Chowk, Dewas-812316",HIGH
3179ba4a-9b6c-47ff-b80c-4e1b204dd7da,Family of four stranded on rooftop.,FLOOD,4,False,False,"73/11, Samra, Vadodara 845527",HIGH
8dd2ac9c-98d1-430d-a126-135674d8b1da,Water has entered the ground floor. three children are trapped.,FLOOD,3,True,False,"30/196, Krishna Street, Gulbarga-962218",HIGH
b445b8d9-b2b0-4fda-8ff2-9776fcccf409,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"235, Salvi Ganj, Guwahati 164091",HIGH
f6383d81-b299-4cdc-8ff7-20906bd2cc03,Water has entered the ground floor. five children are trapped.,FLOOD,5,True,False,"H.No. 25, Dua Circle, Mangalore 827159",HIGH
bd62e5c2-6e11-4385-9312-6787d3dda683,Water has entered the ground floor. four children are trapped.,FLOOD,4,True,False,"H.No. 531, Kapadia Path, Bikaner-290806",HIGH
5df9cfc7-9a88-4128-aced-f93148b04edd,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"189, Patla Zila, Surendranagar Dudhrej 699319",MEDIUM
a09fd911-3ada-4b32-ba80-e8f306cdbc92,Water has entered the ground floor. five children are trapped.,FLOOD,5,True,False,"204, Biswas Circle, Allahabad 685077",HIGH
afd0fae6-f104-4e1f-be8d-02bedf80651e,Family of five stranded on rooftop.,FLOOD,5,False,False,"71, Grover Marg, Hindupur 287108",HIGH
95cb4c5b-2085-4d51-97f6-b1c3eea495c1,Family of one stranded on rooftop.,FLOOD,1,False,False,"H.No. 84, Toor Nagar, Kavali 360872",MEDIUM
bde02f84-8cc2-4d65-ad68-1ca132789277,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"74/128, Mohan, Surat 586367",HIGH
3ff4f175-8a53-4bdc-a8ac-04be26d62142,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"H.No. 33, Keer Path, Munger-241652",HIGH
90e98fe0-5d01-4172-9631-1eba0c804703,5 people trapped inside a flooded house. One person is infant.,FLOOD,5,True,False,"29/547, Ramaswamy Circle, Deoghar-169863",HIGH
4c4ddddd-5102-4d06-8fa4-6f38665eba42,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"H.No. 08, Rai, Jabalpur 644311",MEDIUM
899e4d46-ab1e-48cd-9c54-28d1756a9886,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"33, Muni Zila, Ghaziabad 967153",HIGH
69d817a1-cd45-4603-8d1a-959663a31f86,Water has entered the ground floor. four children are trapped.,FLOOD,4,True,False,"31/262, Dara Ganj, Chennai-434116",HIGH
d65f8022-5ef0-4770-a5a9-58e51970d6aa,Water has entered the ground floor. three children are trapped.,FLOOD,3,True,False,"H.No. 390, Karpe Path, Bihar Sharif 431708",HIGH
efea8ef6-41bb-441c-b581-6c222155c913,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"H.No. 16, Dubey Zila, Bikaner-687872",MEDIUM
bce92b7f-48b8-472f-844b-59c0f6ca7fb5,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"18/905, Padmanabhan Chowk, Erode-991588",MEDIUM
d2e7919d-a859-4b57-bced-8b8a81fab798,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"H.No. 93, Bath, Ghaziabad 019818",HIGH
86c77d6d-aa0b-4cc9-9361-f69ef70a4944,4 people trapped inside a flooded house. One person is elderly.,FLOOD,4,True,False,"H.No. 58, Buch Street, Phusro 768258",HIGH
651f40e0-3261-4a42-912d-3923df1f22b2,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"41, Shetty Street, Bidhannagar 407313",HIGH
9236303e-99b7-4808-b67f-08d9100d6d45,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"44, Murthy, Pimpri-Chinchwad 342536",HIGH
595eb3af-a37c-4fc0-bc6a-7ff87b17055a,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"71, Sunder Street, Bangalore-053966",MEDIUM
3a1025d7-f789-4592-936a-cf2e7e61c619,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"34, Jaggi Marg, Karimnagar 933457",MEDIUM
aef11118-3319-4592-8e89-fdc8dfb33f06,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"57/84, Bahl Street, Chandrapur-893404",HIGH
982b6ce9-729a-4e40-ae4e-581f48d5472d,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"H.No. 172, Lall Marg, Guna 975520",MEDIUM
843e9905-9fca-457e-ba29-25de68647474,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"86/50, Kannan Road, Sirsa-323931",MEDIUM
9cc0d982-6b9d-4d83-87ca-045ca0dcce76,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"77/89, Raghavan Nagar, Giridih-552206",HIGH
dbba986e-ba07-4c41-a07b-8356a46b2519,1 people trapped inside a flooded house. One person is pregnant.,FLOOD,1,True,False,"77/355, Korpal, Guwahati-472766",HIGH
e6b374f8-2aee-4328-b9b4-bda61c744c2f,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"817, Vala Circle, Bulandshahr-480116",MEDIUM
13e37395-21d9-45fe-bccc-7e66e2e38f47,2 people trapped inside a flooded house. One person is infant.,FLOOD,2,True,False,"H.No. 72, Parikh, Vellore 972975",HIGH
11b6757e-fce5-4cf5-8c6e-6c242b72d094,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"73, Gole Ganj, Mirzapur-573285",HIGH
546d5484-06be-4357-a6d8-0e1658459294,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"06, Nazareth Zila, Raebareli-610529",MEDIUM
d5bda345-44f3-4ffc-88c5-41950a469d59,Family of four stranded on rooftop.,FLOOD,4,False,False,"07, Kurian Road, Katihar 010853",HIGH
410ff043-e979-4a60-a716-2b92f9ed994d,Family of five stranded on rooftop.,FLOOD,5,False,False,"76/56, Chahal Road, Varanasi 879174",HIGH
ece478ba-849a-4131-939c-a641ad86f61f,4 people trapped inside a flooded house. One person is infant.,FLOOD,4,True,False,"614, Ben Path, Machilipatnam 588094",HIGH
622210c8-bf77-4bb7-8c59-500f871ed64f,Family of one stranded on rooftop.,FLOOD,1,False,False,"54/040, Gola Street, Kota 687165",MEDIUM
e3936ced-27bd-4d7e-a995-c030ca345332,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"73/462, Chowdhury Marg, Howrah 801067",MEDIUM
58fd2dee-1556-4119-98ef-1d42f0bf2cc2,Family of five stranded on rooftop.,FLOOD,5,False,False,"H.No. 25, Jayaraman Zila, Bikaner-326978",HIGH
9e7c3e1f-758d-421b-8e55-1ea2b7aa0645,4 people trapped inside a flooded house. One person is pregnant.,FLOOD,4,True,False,"27/47, Nayar Circle, Bilaspur 577091",HIGH
c29002ef-c603-40ad-8147-c633790b4c09,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 724, Nanda Circle, Karimnagar 159612",HIGH
b7bdb843-127f-495b-870e-f0c682f1a787,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"42/25, Nayak, Hubli–Dharwad 762491",HIGH
07280a78-c23f-4c63-975b-a8d2c416c9b8,Family of two stranded on rooftop.,FLOOD,2,False,False,"08, Mukherjee, Panchkula 782696",MEDIUM
6df7770e-5077-4a46-8609-9eb7ad16d028,Water has entered the ground floor. two children are trapped.,FLOOD,2,True,False,"H.No. 94, Manne Chowk, Sikar 535209",HIGH
6a3dba43-ed0b-4015-95cc-d121c72ba7ee,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"H.No. 80, Saraf Road, Raebareli-739592",MEDIUM
be71cc04-e928-42b5-9102-dbc6a0773c62,1 people trapped inside a flooded house. One person is infant.,FLOOD,1,True,False,"70, Baral Road, Noida 891927",HIGH
99d8cee2-50a1-4ee1-b563-ebfb00d8ab50,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"82, Dara Nagar, Lucknow-291312",MEDIUM
50f0637f-50e6-4782-b485-6efd28aa83e6,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"12/152, Zacharia, New Delhi 006882",MEDIUM
bdd6ddf7-9eb3-467e-a5a1-109bb9bb894a,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"H.No. 36, Ghosh Nagar, Rewa-515837",MEDIUM
41910818-5025-44f0-8b6c-ddfb35b7657d,Family of three stranded on rooftop.,FLOOD,3,False,False,"63, Gour Chowk, Agra 877555",HIGH
b1ba114f-c7b7-4c05-bdcc-362023a1ce96,Water has entered the ground floor. four children are trapped.,FLOOD,4,True,False,"84/80, Sibal Road, Bharatpur-383462",HIGH
a28b8539-218f-4bc9-aa17-39f101843f70,Family of two stranded on rooftop.,FLOOD,2,False,False,"28/961, Raman Path, Rewa 455712",MEDIUM
31e386f1-be16-41ec-9e19-bc193252bc84,Water has entered the ground floor. one children are trapped.,FLOOD,1,True,False,"07/91, Walla Chowk, Sambalpur-530458",HIGH
55c99b0d-abd1-417b-9d66-b85513a2bcb2,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"47, Baria Zila, Firozabad-250141",MEDIUM
d223c165-8db7-4270-97ef-43b4fa4595d0,Water has entered the ground floor. two children are trapped.,FLOOD,2,True,False,"13, Randhawa Circle, Mira-Bhayandar 117855",HIGH
e81d2afc-28c7-4c57-bfeb-93331a253842,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"H.No. 685, Saini Chowk, Dhule-328284",HIGH
b82d6c76-48f2-4e1e-adcf-1dbe21cf2a00,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"363, Narayan Zila, Meerut-220242",MEDIUM
56425bbd-9f34-4a90-870e-dde407a23eb7,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"H.No. 886, Peri Path, Ichalkaranji 130266",MEDIUM
2765eb8c-3fa8-47a3-9acf-665fe1dd8f08,2 people trapped inside a flooded house. One person is pregnant.,FLOOD,2,True,False,"74/02, Shroff Ganj, Amaravati-971840",HIGH
4d13658f-2e5d-4a31-aefe-16bad7e0dbf7,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"93, Rajan Circle, Amaravati 582117",MEDIUM
e296c6c9-e868-4da2-831c-44f2bd756bf6,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"982, Grover Road, Karnal-860007",HIGH
35342e5f-24ee-41b3-85e8-041795b46c44,Family of one stranded on rooftop.,FLOOD,1,False,False,"40, Bumb Road, Nizamabad 555969",MEDIUM
935f9ede-b52d-4a57-93cf-1d5a6d0e713a,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"H.No. 156, Taneja Chowk, Anand 238593",MEDIUM
2658246e-c827-40d0-a3b7-51de1b6ab9e6,Water has entered the ground floor. five children are trapped.,FLOOD,5,True,False,"07, Din Circle, Kirari Suleman Nagar 077024",HIGH
dc740184-05c2-4ab0-bcd5-1628865c4efd,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"H.No. 13, Mand Nagar, Bardhaman-446296",HIGH
200b09cd-e1cb-43b9-8363-1f857dffb356,Family of one stranded on rooftop.,FLOOD,1,False,False,"81/59, Bhardwaj Road, Madurai-858797",MEDIUM
f6d5f700-f0d4-45d3-a43e-cb20aac65444,Water has entered the ground floor. two children are trapped.,FLOOD,2,True,False,"20/52, Pillai Zila, Tezpur 185350",HIGH
15680569-b9a1-4c85-9711-66febc154174,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"87/629, Baria Nagar, Giridih-598435",HIGH
1cfcba66-9c46-49cd-aff4-219a24cf02b2,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 46, Ben Street, Jamshedpur 216584",HIGH
a3aa653d-aaa1-4877-a20a-31197870e04c,3 people trapped inside a flooded house. One person is pregnant.,FLOOD,3,True,False,"H.No. 00, Arora Nagar, Asansol-688703",HIGH
2336d370-cbff-4fe3-8d91-9a9c02fbf2bf,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"21/75, Shenoy Street, Bhilwara 122294",HIGH
0335b35b-077d-406e-9020-bfe943bae2c6,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"H.No. 37, Gole Ganj, Chapra 632292",HIGH
1320b3df-5ffe-4365-8698-8f38a69fcdd0,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 200, Mangat Street, North Dumdum 995572",HIGH
eb322053-a284-4877-bdbb-7db75b8acecf,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"05/03, Reddy Marg, Sri Ganganagar-200308",HIGH
a5c8f3c7-1d8e-4704-a749-a11f70a66ef0,3 people trapped inside a flooded house. One person is infant.,FLOOD,3,True,False,"18, Arya, Medininagar 315018",HIGH
2cd86735-c8ce-43d3-9716-72393f3d1edd,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"H.No. 152, Parikh Street, Bhiwani 905549",MEDIUM
1b86701e-9421-4552-b7e3-1dcf3587a1da,Family of three stranded on rooftop.,FLOOD,3,False,False,"064, Sarin Zila, Loni 831473",HIGH
6a6ed3ce-e785-44ff-8090-e2cbb9de024a,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"07/62, Bawa Circle, Serampore 983904",MEDIUM
38aef7ef-9d04-483a-b912-b12d8e91ac64,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 13, Seshadri, Adoni 242204",HIGH
932d5e2d-8e2a-4797-a677-33d290dc2734,Water has entered the ground floor. five children are trapped.,FLOOD,5,True,False,"18, Sharma Marg, Sagar 649210",HIGH
abb30302-81bb-44ec-9843-622b3fe0ab4d,1 people trapped inside a flooded house. One person is elderly.,FLOOD,1,True,False,"13/46, Saha Path, Coimbatore-769561",HIGH
1e1e6b5a-c018-4dbc-97d4-430377618b0b,Family of one stranded on rooftop.,FLOOD,1,False,False,"H.No. 44, Dave Nagar, Sagar 146646",MEDIUM
a655b229-a83c-4053-829d-0cd16845d957,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"H.No. 95, Shroff Circle, Sambhal-141362",HIGH
de6aa204-0163-4175-a4ce-9ae0bc219e1b,Family of five stranded on rooftop.,FLOOD,5,False,False,"08/727, Goel Nagar, Kalyan-Dombivli-620989",HIGH
efb19a80-b94b-488a-b2a6-d63ffabf689b,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"22/100, Nanda Road, Etawah-572203",HIGH
818d871d-6d9b-4fc8-9df3-8ad878e3bb69,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"H.No. 553, Chaudhry Zila, Mehsana 655734",MEDIUM
2fc75a78-5187-468f-a5b8-599fb0c66673,3 people trapped inside a flooded house. One person is disabled.,FLOOD,3,True,False,"17, Ravi, Raipur 889366",HIGH
5a28708e-2c00-4b99-b320-0adab0c5e9ed,Family of two stranded on rooftop.,FLOOD,2,False,False,"918, Mahajan Road, Narasaraopet 365578",MEDIUM
a4bd4e68-9be4-4a5d-83e8-e04635487e2f,Family of one stranded on rooftop.,FLOOD,1,False,False,"H.No. 307, Narasimhan Chowk, Pudukkottai-580929",MEDIUM
0d6da983-6aaf-41a0-9f92-271932a7a404,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 31, Vohra, Hindupur 616757",HIGH
1908cca1-27d3-436d-8346-4b65633dfd28,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 64, Maharaj Road, Nagpur-644227",HIGH
8cc635db-455f-4470-8da8-15dfbc9db746,Family of one stranded on rooftop.,FLOOD,1,False,False,"10/21, Rana Marg, Tumkur-709472",MEDIUM
0f889069-5c0c-49e7-a549-842925e8e6aa,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"36/750, Mallick Circle, Dhanbad 053097",MEDIUM
a78b45fc-1187-498c-9ffa-bf8fe53a999f,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"88/756, Mand, Panihati 211273",MEDIUM
4220851d-790f-4025-a8f8-65c70328fff2,Family of one stranded on rooftop.,FLOOD,1,False,False,"26/96, Chhabra Chowk, Rajahmundry 220514",MEDIUM
39e1c614-9d28-4d0a-a39b-d3806c0c7f71,Person injured after falling during flooding. Requires immediate medical attention.,MEDICAL,1,False,True,"14/22, Kunda Path, Tiruvottiyur 376256",HIGH
11cc040c-ebd9-48eb-a364-515b2a89af4e,Fire broke out due to short circuit in the flooded basement.,FIRE,0,False,False,"54, Rana Road, Tiruchirappalli-294726",MEDIUM
17af4182-32a1-457b-83e0-c8ed62809677,Family of five stranded on rooftop.,FLOOD,5,False,False,"04/77, Goda Circle, Hazaribagh-740593",HIGH
38131c70-a60d-4f39-bafb-76b95096bfb5,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"10/700, Nori Zila, Ballia 529604",HIGH
65d8fde8-663d-45a0-86c9-13b3e42fcbda,3 people trapped inside a flooded house. One person is disabled.,FLOOD,3,True,False,"H.No. 22, More Ganj, Mau-510811",HIGH
82a0bad4-ea43-4c5c-abf3-44c50ab87929,Water has entered the ground floor. three children are trapped.,FLOOD,3,True,False,"68/851, Krishnan Path, Rohtak-702727",HIGH
35391556-5c6b-4715-bd8a-5083bb9d1633,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"44/81, Pau Circle, Hospet 605731",HIGH
0d85f595-3a1b-434c-8077-a62d3b7a24c9,5 people trapped inside a flooded house. One person is infant.,FLOOD,5,True,False,"H.No. 732, Varghese Marg, Mangalore-829920",HIGH
5d60ca86-f239-4885-8c30-a738d817601d,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"78/41, Srinivas Circle, Lucknow-468580",HIGH
4834bcd0-2331-4b89-91c6-0636f5456c00,Water has entered the ground floor. five children are trapped.,FLOOD,5,True,False,"333, Iyengar Street, Jammu-942182",HIGH
1a0a143b-e6bd-4b07-81bf-b03d933ff461,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"H.No. 478, Shah Nagar, Pondicherry 538244",MEDIUM
e128acf7-da68-4463-b915-5dfc6d4ed42a,Family of four stranded on rooftop.,FLOOD,4,False,False,"H.No. 75, Deol Zila, Shimla 339551",HIGH
d3d67bb0-f4f7-4cc8-870a-a04c553f80b9,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 217, Palan Ganj, Guna 686149",HIGH
0c362308-66aa-44b3-acde-0938e077e358,Family of five stranded on rooftop.,FLOOD,5,False,False,"50/29, Bir Ganj, Bhagalpur-727320",HIGH
7e15524d-29b9-4128-97f6-348b3cf1e086,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"72, Rattan Nagar, Eluru 705879",HIGH
2bac8a59-a450-4f3c-b28b-59bd3e80acea,2 people trapped inside a flooded house. One person is infant.,FLOOD,2,True,False,"281, Chaudry Road, Thanjavur 598349",HIGH
9af6ac54-babc-4ca4-a63a-5ba1327c9b7e,Road is completely submerged and vehicle cannot move.,INFRASTRUCTURE,0,False,False,"30, Raval Circle, Katihar-000481",MEDIUM
c6d293f5-235e-40b0-a0ab-88c6c74bdd9f,Water has entered the ground floor. five children are trapped.,FLOOD,5,True,False,"01/502, Boase Road, Ozhukarai-255390",HIGH
4f470ebc-4fcd-499a-a296-06a32b703b13,Elderly patient trapped without access to regular medication.,MEDICAL,0,True,True,"H.No. 572, Banik Marg, Dibrugarh-741310",HIGH
ca4b9209-bf2f-4477-a6a6-6052c7fa18e0,Family of two stranded on rooftop.,FLOOD,2,False,False,"495, Srivastava Path, Pune 443901",MEDIUM
0145b796-48dc-477b-948b-62dcebe3d68a,Water has entered the ground floor. five children are trapped.,FLOOD,5,True,False,"H.No. 180, Hayre Ganj, Nadiad-233911",HIGH
